,Year,Quarter,Subject,ID,College,MinUnit,Unit,PassNP,Letter,Monday,Tuesday,Wednesday,Thursday,Friday,StartTime,EndTime,Building,CurEnroll,MaxEnroll,RatioEnroll
344,,2,EEMB,99,L&S,1.0,3.0,1,0,0,0,0,0,0,,,nan,0,1,0.0
345,,2,EEMB,102,L&S,,4.0,0,1,0,1,0,1,0,660.0,735.0,HFH,172,188,0.9148936170212766
346,,2,EEMB,102,L&S,,4.0,0,1,0,0,0,0,1,840.0,890.0,PHELP,24,24,1.0
347,,2,EEMB,102,L&S,,4.0,0,1,0,0,1,0,0,780.0,830.0,,23,23,1.0
348,,2,EEMB,102,L&S,,4.0,0,1,0,0,1,0,0,480.0,530.0,LSB,23,23,1.0
349,,2,EEMB,102,L&S,,4.0,0,1,0,0,0,0,1,900.0,950.0,PHELP,22,24,0.9166666666666666
350,,2,EEMB,102,L&S,,4.0,0,1,0,0,1,0,0,840.0,890.0,GIRV,24,24,1.0
351,,2,EEMB,102,L&S,,4.0,0,1,0,0,0,0,1,960.0,1010.0,PHELP,9,23,0.391304347826087
352,,2,EEMB,102,L&S,,4.0,0,1,0,0,1,0,0,660.0,710.0,GIRV,23,23,1.0
353,,2,EEMB,102,L&S,,4.0,0,1,0,0,1,0,0,900.0,950.0,NH,24,24,1.0
354,,2,EEMB,102H,L&S,,1.0,1,1,0,0,0,0,0,,,nan,0,0,
355,,2,EEMB,103A,L&S,,4.0,0,1,0,0,1,0,0,840.0,1010.0,BSIF,10,10,1.0
356,,2,EEMB,103A,L&S,,4.0,0,1,0,0,0,0,1,840.0,1010.0,BSIF,10,10,1.0
357,,2,EEMB,107,L&S,,3.0,0,1,1,0,1,0,0,600.0,650.0,PHELP,22,60,0.36666666666666664
358,,2,EEMB,107,L&S,,3.0,0,1,0,0,0,0,1,600.0,650.0,PHELP,22,60,0.36666666666666664
359,,2,EEMB,107L,L&S,,2.0,0,1,0,0,0,0,1,780.0,1010.0,HARDR,12,24,0.5
360,,2,EEMB,116,L&S,,5.0,0,1,1,0,1,0,1,660.0,710.0,SH,49,88,0.5568181818181818
361,,2,EEMB,116,L&S,,5.0,0,1,0,1,0,1,0,780.0,950.0,MLAB,12,22,0.5454545454545454
362,,2,EEMB,116,L&S,,5.0,0,1,0,1,0,1,0,540.0,710.0,MLAB,4,22,0.18181818181818182
363,,2,EEMB,116,L&S,,5.0,0,1,1,0,1,0,0,840.0,1010.0,MLAB,19,22,0.8636363636363636
364,,2,EEMB,116,L&S,,5.0,0,1,1,0,1,0,0,1080.0,1250.0,MLAB,14,22,0.6363636363636364
365,,2,EEMB,120,L&S,,4.0,0,1,0,1,0,1,0,660.0,735.0,IV   THEA,144,144,1.0
366,,2,EEMB,120,L&S,,4.0,0,1,0,0,0,0,1,480.0,530.0,PHELP,24,24,1.0
367,,2,EEMB,120,L&S,,4.0,0,1,0,0,1,0,0,780.0,830.0,PHELP,24,24,1.0
368,,2,EEMB,120,L&S,,4.0,0,1,0,0,0,0,1,840.0,890.0,PHELP,24,24,1.0
369,,2,EEMB,120,L&S,,4.0,0,1,0,0,1,0,0,480.0,530.0,HSSB,24,24,1.0
370,,2,EEMB,120,L&S,,4.0,0,1,0,0,0,0,1,900.0,950.0,PHELP,24,24,1.0
371,,2,EEMB,120,L&S,,4.0,0,1,0,0,0,0,1,960.0,1010.0,PHELP,24,24,1.0
372,,2,EEMB,127L,L&S,,3.0,0,1,1,0,0,0,0,780.0,1190.0,LSB,11,11,1.0
373,,2,EEMB,127L,L&S,,3.0,0,1,1,0,0,0,0,780.0,1190.0,LSB,11,11,1.0
374,,2,EEMB,128,L&S,,4.0,0,1,0,1,0,1,0,660.0,735.0,BIOEN,48,48,1.0
375,,2,EEMB,128,L&S,,4.0,0,1,0,0,1,0,0,540.0,650.0,BSIF,12,12,1.0
376,,2,EEMB,128,L&S,,4.0,0,1,0,1,0,0,0,900.0,1010.0,BSIF,12,12,1.0
377,,2,EEMB,128,L&S,,4.0,0,1,0,0,0,1,0,900.0,1010.0,BSIF,12,12,1.0
378,,2,EEMB,128,L&S,,4.0,0,1,0,0,1,0,0,900.0,1010.0,BSIF,12,12,1.0
379,,2,EEMB,131,L&S,,4.0,0,1,0,1,0,1,0,570.0,645.0,LSB,105,144,0.7291666666666666
380,,2,EEMB,131,L&S,,4.0,0,1,0,0,0,0,1,780.0,830.0,HSSB,19,24,0.7916666666666666
381,,2,EEMB,131,L&S,,4.0,0,1,0,0,0,0,1,840.0,890.0,HSSB,9,24,0.375
382,,2,EEMB,131,L&S,,4.0,0,1,0,0,0,0,1,660.0,710.0,GIRV,13,24,0.5416666666666666
383,,2,EEMB,131,L&S,,4.0,0,1,0,0,0,0,1,720.0,770.0,HSSB,18,24,0.75
384,,2,EEMB,131,L&S,,4.0,0,1,0,0,0,0,1,600.0,650.0,PHELP,24,24,1.0
385,,2,EEMB,131,L&S,,4.0,0,1,0,0,0,0,1,540.0,590.0,NH,22,24,0.9166666666666666
386,,2,EEMB,132,L&S,,4.0,0,1,0,1,0,1,0,660.0,735.0,PSB-S,7,8,0.875
387,,2,EEMB,132,L&S,,4.0,0,1,0,0,1,0,0,960.0,1010.0,PSB-S,7,8,0.875
388,,2,EEMB,137,L&S,,4.0,1,1,0,1,0,1,0,930.0,1005.0,PSB-S,8,8,1.0
389,,2,EEMB,137L,L&S,,1.0,0,1,0,0,0,0,1,780.0,950.0,PSB-S,5,8,0.625
390,,2,EEMB,138,L&S,,5.0,0,1,0,1,0,1,0,570.0,645.0,BIOEN,97,97,1.0
391,,2,EEMB,138,L&S,,5.0,0,1,1,0,0,0,0,780.0,1010.0,HARDR,20,20,1.0
392,,2,EEMB,138,L&S,,5.0,0,1,0,1,0,0,0,780.0,1010.0,HARDR,20,20,1.0
393,,2,EEMB,138,L&S,,5.0,0,1,0,0,1,0,0,780.0,1010.0,HARDR,20,20,1.0
394,,2,EEMB,138,L&S,,5.0,0,1,0,0,0,1,0,780.0,1010.0,HARDR,20,20,1.0
395,,2,EEMB,138,L&S,,5.0,0,1,0,0,1,0,0,480.0,710.0,HARDR,17,17,1.0
396,,2,EEMB,142C,L&S,,4.0,0,1,1,0,1,0,1,840.0,890.0,PHELP,32,65,0.49230769230769234
397,,2,EEMB,142C,L&S,,4.0,0,1,0,0,0,1,0,540.0,590.0,ARTS,14,24,0.5833333333333334
398,,2,EEMB,142C,L&S,,4.0,0,1,0,0,0,1,0,480.0,530.0,HSSB,11,24,0.4583333333333333
399,,2,EEMB,142C,L&S,,4.0,0,1,0,0,0,0,1,480.0,530.0,HSSB,7,24,0.2916666666666667
400,,2,EEMB,142CL,L&S,,3.0,0,1,0,1,0,1,0,840.0,1010.0,BSIF,19,22,0.8636363636363636
401,,2,EEMB,146,L&S,,4.0,0,1,1,0,1,0,1,780.0,830.0,BUCHN,142,144,0.9861111111111112
402,,2,EEMB,146,L&S,,4.0,0,1,1,0,0,0,0,840.0,950.0,SSMS,24,24,1.0
403,,2,EEMB,146,L&S,,4.0,0,1,0,0,0,1,0,840.0,950.0,SSMS,24,24,1.0
404,,2,EEMB,146,L&S,,4.0,0,1,0,0,1,0,0,840.0,950.0,SSMS,24,24,1.0
405,,2,EEMB,146,L&S,,4.0,0,1,0,1,0,0,0,600.0,710.0,SSMS,22,24,0.9166666666666666
406,,2,EEMB,146,L&S,,4.0,0,1,0,0,1,0,0,600.0,710.0,SSMS,24,24,1.0
407,,2,EEMB,146,L&S,,4.0,0,1,0,0,0,0,1,600.0,710.0,SSMS,24,24,1.0
408,,2,EEMB,147,L&S,,4.0,0,1,1,0,1,0,0,660.0,735.0,BIOEN,96,96,1.0
409,,2,EEMB,147,L&S,,4.0,0,1,0,1,0,0,0,840.0,890.0,PHELP,24,24,1.0
410,,2,EEMB,147,L&S,,4.0,0,1,0,1,0,0,0,1020.0,1070.0,HSSB,24,24,1.0
