20184_ANTH.html,ANTH      5,L&S,5.0,Optional,F,1:00pm - 1:50pm,HSSB 1215,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,R,5:00pm - 5:50pm,HSSB 1214,1 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,F,11:00am - 11:50am,HSSB 1231,2 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,R,7:00pm - 7:50pm,HSSB 1211,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,W,9:00 am - 9:50 am,GIRV 2127,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,F,9:00 am - 9:50 am,BUCHN1934,1 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,W,4:00pm - 4:50pm,SH   1609,1 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,M,5:00pm - 5:50pm,HSSB 1224,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,M,6:00pm - 6:50pm,HSSB 1227,1 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,M,12:00pm - 12:50pm,PHELP1444,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,W,8:00 am - 8:50 am,HSSB 1231,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,F,4:00pm - 4:50pm,HSSB 1214,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,F,3:00pm - 3:50pm,HSSB 1228,0 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,T,5:00pm - 5:50pm,HSSB 1210,2 / 25
20184_ANTH.html,ANTH      5,L&S,5.0,Optional,T,6:00pm - 6:50pm,HSSB 1228,0 / 25
20184_ANTH.html,ANTH     99,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 1
20184_ANTH.html,ANTH    117,L&S,4.0,Letter,M W,12:30pm - 1:45pm,GIRV 2112,12 / 40
20184_ANTH.html,ANTH    130,L&S,4.0,Optional,T R,3:30pm - 4:45pm,GIRV 1112,17 / 45
20184_ANTH.html,ANTH    153T,L&S,4.0,Optional,T R,11:00am - 12:15pm,BIOEN1001,9 / 80
20184_ANTH.html,ANTH    157L,L&S,4.0,Optional,T R,9:30 am - 10:45am,ARTS 1349,9 / 50
20184_ANTH.html,ANTH    161,L&S,4.0,Optional,T R,2:00pm - 3:15pm,HSSB 1174,21 / 90
20184_ANTH.html,ANTH    177AB,L&S,4.0,Optional,T R,9:30 am - 10:45am,SH   1431,10 / 85
20184_ANTH.html,ANTH    178,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 10
20184_ANTH.html,ANTH    180A,L&S,4.0,Optional,T R,3:30pm - 4:45pm,HSSB 1021,0 / 25
20184_ANTH.html,ANTH    182,L&S,4.0,Letter,M,9:00 am - 11:50am,HSSB 2001A,5 / 19
20184_ANTH.html,ANTH    182M,L&S,4.0,Letter,T R,9:30 am - 10:45am,HSSB 1021,3 / 28
20184_ANTH.html,ANTH    183,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 10
20184_ANTH.html,ANTH    190,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 15
20184_ANTH.html,ANTH    194,L&S,1.0 - 8.0,Optional,N/A,N/A,N/A,0 / 5
20184_ANTH.html,ANTH    194P,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 5
20184_ANTH.html,ANTH    195B,L&S,4.0,Letter,N/A,N/A,N/A,0 / 10
20184_ANTH.html,ANTH    195C,L&S,4.0,Letter,N/A,N/A,N/A,0 / 10
20184_ANTH.html,ANTH    198,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_ANTH.html,ANTH    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_ANTH.html,ANTH    199RA,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_SOC.html,SOC       1,L&S,4.0,Optional,T R,11:00am - 12:15pm,CAMPBHALL,45 / 149
20184_SOC.html,SOC       1,L&S,4.0,Optional,T,7:00pm - 7:50pm,PHELP2514,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,M,9:00 am - 9:50 am,GIRV 2124,9 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,M,6:00pm - 6:50pm,HSSB 4201,3 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 2251,3 / 23
20184_SOC.html,SOC       1,L&S,4.0,Optional,R,6:00pm - 6:50pm,PHELP2536,2 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,F,8:00 am - 8:50 am,HSSB 1224,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,M,8:00 am - 8:50 am,HSSB 4201,1 / 23
20184_SOC.html,SOC       1,L&S,4.0,Optional,F,1:00pm - 1:50pm,387  1015,2 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,T,8:00 am - 8:50 am,HSSB 1237,2 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,R,8:00 am - 8:50 am,GIRV 2120,1 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,F,8:00 am - 8:50 am,HSSB 1223,1 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,R,7:00pm - 7:50pm,GIRV 2112,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,T,7:00pm - 7:50pm,PHELP1448,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,W,8:00 am - 8:50 am,GIRV 1116,0 / 24
20184_SOC.html,SOC       1,L&S,4.0,Optional,F,1:00pm - 1:50pm,387  1011,0 / 24
