20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,9:00 am - 9:50 am,HSSB 3201,1 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,3:00pm - 3:50pm,HSSB 4201,0 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,12:00pm - 12:50pm,HSSB 1231,0 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,2:00pm - 2:50pm,HSSB 4201,0 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,R,2:00pm - 2:50pm,HSSB 4202,14 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,R,3:00pm - 3:50pm,HSSB 4202,1 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,8:00 am - 8:50 am,HSSB 4201,1 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,1:00pm - 1:50pm,HSSB 1206,0 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,10:00am - 10:50am,BUCHN1934,1 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,R,4:00pm - 4:50pm,HSSB 1214,0 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,R,5:00pm - 5:50pm,HSSB 3202,7 / 14
20184_EEMB.html,EEMB    120,L&S,4.0,Letter,F,11:00am - 11:50am,HSSB 1210,2 / 14
20184_EEMB.html,EEMB    130,L&S,4.0,Letter,T R,12:30pm - 1:45pm,SH   1431,9 / 85
20184_EEMB.html,EEMB    130,L&S,4.0,Letter,W,4:00pm - 4:50pm,ARTS 1356,2 / 21
20184_EEMB.html,EEMB    130,L&S,4.0,Letter,F,3:00pm - 3:50pm,HSSB 1223,2 / 21
20184_EEMB.html,EEMB    130,L&S,4.0,Letter,F,4:00pm - 4:50pm,HSSB 1223,1 / 22
20184_EEMB.html,EEMB    130,L&S,4.0,Letter,W,5:00pm - 5:50pm,HSSB 1206,4 / 21
20184_EEMB.html,EEMB    133,L&S,4.0,Letter,T R,3:30pm - 4:45pm,BIOEN1001,18 / 48
20184_EEMB.html,EEMB    133,L&S,4.0,Letter,W,8:00 am - 8:50 am,PHELP2514,7 / 12
20184_EEMB.html,EEMB    133,L&S,4.0,Letter,W,9:00 am - 9:50 am,ARTS 1353,4 / 12
20184_EEMB.html,EEMB    133,L&S,4.0,Letter,F,8:00 am - 8:50 am,HSSB 1227,2 / 12
20184_EEMB.html,EEMB    133,L&S,4.0,Letter,W,3:00pm - 3:50pm,ARTS 1356,5 / 12
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,T R,11:00am - 12:15pm,LSB  1001,44 / 129
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,W,8:00 am - 8:50 am,HSSB 3202,3 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,T,5:00pm - 5:50pm,HSSB 4202,7 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,T,6:00pm - 6:50pm,HSSB 3202,0 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,T,1:00pm - 1:50pm,HSSB 4202,11 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,W,2:00pm - 2:50pm,HSSB 1214,8 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,F,8:00 am - 8:50 am,HSSB 1228,0 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,W,12:00pm - 12:50pm,HSSB 1237,14 / 20
20184_EEMB.html,EEMB    142A,L&S,4.0,Letter,R,8:00 am - 8:50 am,GIRV 1108,1 / 19
20184_EEMB.html,EEMB    142AL,L&S,3.0,Letter,T R,2:00pm - 4:50pm,BSIF 1229,8 / 14
20184_EEMB.html,EEMB    142AL,L&S,3.0,Letter,F,3:00pm - 3:50pm,GIRV 2124,8 / 14
20184_EEMB.html,EEMB    142AL,L&S,3.0,Letter,T R,2:00pm - 4:50pm,BSIF 1229,2 / 14
20184_EEMB.html,EEMB    142AL,L&S,3.0,Letter,F,3:00pm - 3:50pm,GIRV 2124,2 / 14
20184_EEMB.html,EEMB    144,L&S,4.0,Letter,M W F,9:00 am - 9:50 am,PSYCH1902,12 / 72
20184_EEMB.html,EEMB    144,L&S,4.0,Letter,F,3:00pm - 3:50pm,HSSB 2251,9 / 24
20184_EEMB.html,EEMB    144,L&S,4.0,Letter,F,4:00pm - 4:50pm,HSSB 2251,3 / 24
20184_EEMB.html,EEMB    144,L&S,4.0,Letter,F,5:00pm - 5:50pm,HSSB 2251,0 / 24
20184_EEMB.html,EEMB    144L,L&S,2.0,Letter,M W,2:00pm - 4:50pm,MLAB 1004,5 / 16
20184_EEMB.html,EEMB    145,L&S,4.0,Letter,T R,9:30 am - 10:45am,GIRV 1119,7 / 48
20184_EEMB.html,EEMB    145,L&S,4.0,Letter,F,8:00 am - 8:50 am,HSSB 1237,2 / 24
20184_EEMB.html,EEMB    145,L&S,4.0,Letter,W,3:00pm - 3:50pm,PHELP3523,5 / 24
20184_EEMB.html,EEMB    153,L&S,4.0,Letter,M W F,10:00am - 10:50am,SH   1609,6 / 22
20184_EEMB.html,EEMB    153,L&S,4.0,Letter,F,8:00 am - 8:50 am,SH   1609,1 / 10
20184_EEMB.html,EEMB    153,L&S,4.0,Letter,R,1:00pm - 1:50pm,HSSB 2202,5 / 12
20184_EEMB.html,EEMB    157,L&S,4.0,Letter,T R,11:00am - 12:15pm,PHELP3505,13 / 50
20184_EEMB.html,EEMB    157,L&S,4.0,Letter,W,12:00pm - 12:50pm,HSSB 1232,8 / 17
20184_EEMB.html,EEMB    157,L&S,4.0,Letter,W,2:00pm - 2:50pm,LSB  1101,5 / 17
20184_EEMB.html,EEMB    157,L&S,4.0,Letter,F,9:00 am - 9:50 am,SH   1609,0 / 16
20184_EEMB.html,EEMB    171,L&S,4.0,Letter,M W F,12:00pm - 12:50pm,BIOEN1001,3 / 36
20184_EEMB.html,EEMB    171,L&S,4.0,Letter,F,8:00 am - 8:50 am,HSSB 1211,0 / 12
20184_EEMB.html,EEMB    171,L&S,4.0,Letter,F,11:00am - 11:50am,387  1015,1 / 12
20184_EEMB.html,EEMB    171,L&S,4.0,Letter,R,5:00pm - 5:50pm,HSSB 4202,2 / 12
20184_EEMB.html,EEMB    184,L&S,1.0 - 12.0,Pass/No Pass,N/A,N/A,N/A,0 / 0

20184_EEMB.html,EEMB    188RE,L&S,1.0,Letter,M,6:00pm - 6:50pm,HARDR1013,0 / 15
20184_EEMB.html,EEMB    189,L&S,4.0,Optional,T,9:00 am - 11:50am,HARDR1015,1 / 7
20184_EEMB.html,EEMB    189,L&S,4.0,Optional,R,9:00 am - 11:50am,HARDR1015,1 / 7

20184_EEMB.html,EEMB    192,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 15
20184_EEMB.html,EEMB    194CE,L&S,2.0,Optional,T,3:30pm - 4:45pm,LSB  4301,0 / 10
20184_EEMB.html,EEMB    194D,L&S,2.0,Optional,T,7:00pm - 8:50pm,NOBLE1231,0 / 20
20184_EEMB.html,EEMB    194EV,L&S,2.0,Pass/No Pass,R,3:00pm - 4:50pm,LSB  4307,0 / 20
20184_EEMB.html,EEMB    194M,L&S,2.0,Optional,W,4:00pm - 5:00pm,LSB  4307,0 / 25

20184_EEMB.html,EEMB    194T,L&S,2.0,Optional,M,2:30pm - 3:30pm,MLAB 3103,0 / 20

20184_EEMB.html,EEMB    197,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 1
20184_EEMB.html,EEMB    198,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 1
20184_EEMB.html,EEMB    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 1
20184_GREEK.html,GREEK     1,L&S,5.0,Optional,MTWRF,9:00 am - 9:50 am,GIRV 2119,3 / 25
20184_GREEK.html,GREEK   100,L&S,4.0,Optional,M W F,11:00am - 11:50am,HSSB 4065,2 / 10
20184_GREEK.html,GREEK   163,L&S,4.0,Optional,T R,11:00am - 12:15pm,HSSB 4065,0 / 5
20184_GREEK.html,GREEK   199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,11:00am - 11:50am,PHELP2514,3 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,10:00am - 10:50am,PHELP2514,6 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,2:00pm - 2:50pm,GIRV 2119,3 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,12:00pm - 12:50pm,PHELP2514,0 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,11:00am - 11:50am,PHELP1448,2 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,2:00pm - 2:50pm,GIRV 2116,0 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,1:00pm - 1:50pm,PHELP2514,2 / 25
20184_GER.html,GER       1,L&S,5.0,Optional,MTWR,10:00am - 10:50am,PHELP1448,5 / 25
20184_GER.html,GER       4,L&S,5.0,Optional,MTWR,10:00am - 10:50am,PHELP1445,4 / 26
20184_GER.html,GER       4,L&S,5.0,Optional,MTWR,2:00pm - 2:50pm,GIRV 2115,3 / 26
20184_GER.html,GER       4,L&S,5.0,Optional,MTWR,11:00am - 11:50am,PHELP1445,3 / 26
20184_GER.html,GER     101A,L&S,4.0,Optional,T R,12:30pm - 1:45pm,PHELP1440,1 / 30
20184_GER.html,GER     101A,L&S,4.0,Optional,M W,12:30pm - 1:45pm,NH   1109,4 / 30
20184_GER.html,GER     106,L&S,4.0,Letter,M W,11:00am - 12:15pm,PHELP1440,7 / 30
20184_GER.html,GER     113,L&S,4.0,Letter,T R,11:00am - 12:15pm,HSSB 1233,2 / 25
20184_GER.html,GER     197,L&S,4.0 - 8.0,Optional,N/A,N/A,N/A,0 / 5
20184_GER.html,GER     198,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_GER.html,GER     199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_GER.html,GER     199RA,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20184_CMPTG.html,CMPTGCS   1A,CRST,1.0 - 6.0,Pass/No Pass,T R,11:00am - 12:50pm,CRST 143,0 / 12
20184_CMPTG.html,CMPTGCS   1L,CRST,1.0 - 4.0,Pass/No Pass,M W,6:30pm - 8:20pm,CRST 143,0 / 20
20184_CMPTG.html,CMPTGCS   2,CRST,1.0 - 6.0,Pass/No Pass,M W,12:30pm - 1:50pm,CRST 160B,0 / 20
20184_CMPTG.html,CMPTGCS  20,CRST,1.0 - 6.0,Pass/No Pass,M W,9:00 am - 10:50am,CRST 143,0 / 16
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,T R,5:00pm - 6:15pm,BUCHN1910,2 / 156
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,W,8:00 am - 8:50 am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,W,9:00 am - 9:50 am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,W,10:00am - 10:50am,SH   2623,1 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,W,11:00am - 11:50am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,W,5:00pm - 5:50pm,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,W,6:00pm - 6:50pm,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,R,8:00 am - 8:50 am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,R,9:00 am - 9:50 am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,R,10:00am - 10:50am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,R,11:00am - 11:50am,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,R,3:00pm - 3:50pm,SH   2623,0 / 13
20184_ENGL.html,ENGL     10,L&S,4.0,Letter,R,4:00pm - 4:50pm,SH   2623,1 / 13
20184_ENGL.html,ENGL     10S,L&S,1.0,Optional,T,6:30pm - 7:20pm,SH   2714,0 / 15
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,M W F,1:00pm - 1:50pm,IV   THEA2,8 / 102
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,M,5:00pm - 5:50pm,SH   2623,1 / 17
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,M,6:00pm - 6:50pm,SH   2623,0 / 17
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,W,3:00pm - 3:50pm,SH   2623,2 / 17
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,W,4:00pm - 4:50pm,SH   2623,5 / 17
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,F,10:00am - 10:50am,SH   2623,0 / 17
20184_ENGL.html,ENGL     15,L&S,4.0,Optional,F,11:00am - 11:50am,SH   2623,0 / 17
20184_ENGL.html,ENGL     15S,L&S,1.0,Optional,W,11:00am - 11:50am,ELLSN2816,1 / 15
20184_ENGL.html,ENGL     22,L&S,4.0,Optional,M W F,2:00pm - 2:50pm,CAMPBHALL,10 / 400
20184_ENGL.html,ENGL     22S,L&S,1.0,Optional,M,3:00pm - 3:50pm,SH   2617,0 / 15
20184_ENGL.html,ENGL     99,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 30
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,M W F,11:00am - 11:50am,BUCHN1920,4 / 120
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,M,5:00pm - 5:50pm,GIRV 2115,1 / 20
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,M,6:00pm - 6:50pm,GIRV 2116,1 / 20
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,W,1:00pm - 1:50pm,SH   2623,0 / 20
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,W,2:00pm - 2:50pm,SH   2623,1 / 20
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,F,8:00 am - 8:50 am,SH   2623,0 / 20
20184_ENGL.html,ENGL    103B,L&S,4.0,Optional,F,9:00 am - 9:50 am,SH   2623,1 / 20
20184_ENGL.html,ENGL    103BS,L&S,1.0,Optional,W,2:00pm - 2:50pm,SH   2617,0 / 15
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,T R,5:00pm - 6:15pm,HFH  1104,11 / 120
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,W,8:00 am - 8:50 am,SH   2617,0 / 20
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,W,9:00 am - 9:50 am,SH   2617,2 / 20
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,W,5:00pm - 5:50pm,SH   2617,4 / 20
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,W,6:00pm - 6:50pm,SH   2617,0 / 20
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,R,12:00pm - 12:50pm,SH   2623,4 / 20
20184_ENGL.html,ENGL    104A,L&S,4.0,Optional,R,1:00pm - 1:50pm,SH   2623,1 / 20
20184_ENGL.html,ENGL    104AS,L&S,1.0,Optional,R,2:00pm - 2:50pm,GIRV 2110,3 / 15
20184_ENGL.html,ENGL    122CS,L&S,4.0,Optional,T R,2:00pm - 3:15pm,GIRV 1112,5 / 30
20184_ENGL.html,ENGL    122EA,L&S,4.0,Optional,M W,12:30pm - 1:45pm,SH   2635,2 / 20
20184_ENGL.html,ENGL    122FC,L&S,4.0,Optional,M W,2:00pm - 3:15pm,HSSB 1173,0 / 70
20184_ENGL.html,ENGL    122FE,L&S,4.0,Optional,M W,12:30pm - 1:45pm,HSSB 1228,7 / 20
20184_ENGL.html,ENGL    122SN,L&S,4.0,Optional,T R,12:30pm - 1:45pm,387  1011,0 / 30
20184_ENGL.html,ENGL    122UM,L&S,4.0,Optional,T R,11:00am - 12:15pm,GIRV 2129,2 / 30
20184_ENGL.html,ENGL    122WE,L&S,4.0,Optional,M W,9:30 am - 10:45am,GIRV 1115,3 / 30
20184_ENGL.html,ENGL    123,L&S,4.0,Optional,T R,3:30pm - 4:45pm,GIRV 2129,4 / 30
20184_ENGL.html,ENGL    128NE,L&S,4.0,Optional,T R,9:30 am - 10:45am,SH   2635,3 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,T R,2:00pm - 3:15pm,EMBARHALL,3 / 160
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,T,5:00pm - 5:50pm,SH   2623,0 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,T,6:00pm - 6:50pm,SH   2623,0 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,W,10:00am - 10:50am,SH   2617,0 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,W,11:00am - 11:50am,SH   2617,0 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,W,5:00pm - 5:50pm,GIRV 2115,2 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,W,6:00pm - 6:50pm,GIRV 2127,0 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,R,8:00 am - 8:50 am,SH   2617,0 / 20
20184_ENGL.html,ENGL    134FC,L&S,4.0,Optional,R,9:00 am - 9:50 am,SH   2617,1 / 20
20184_ENGL.html,ENGL    134LI,L&S,4.0,Optional,M W,11:00am - 12:15pm,GIRV 1115,2 / 30
20184_ENGL.html,ENGL    145,L&S,4.0,Optional,T R,2:00pm - 3:15pm,SH   2635,3 / 30
20184_ENGL.html,ENGL    151JK,L&S,4.0,Optional,M W,12:30pm - 1:45pm,GIRV 1112,3 / 30
20184_ENGL.html,ENGL    165CT,L&S,4.0,Optional,T R,11:00am - 12:15pm,SH   2617,5 / 20
20184_ENGL.html,ENGL    165PP,L&S,4.0,Optional,T R,3:30pm - 4:45pm,SH   2635,5 / 20
20184_ENGL.html,ENGL    175GW,L&S,4.0,Optional,M,4:00pm - 6:20pm,SH   2635,0 / 5
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,T R,3:30pm - 4:45pm,GIRV 1004,9 / 160
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,T,5:00pm - 5:50pm,SH   2617,1 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,T,6:00pm - 6:50pm,SH   2617,0 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,W,8:00 am - 8:50 am,SH   2635,0 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,W,9:00 am - 9:50 am,SH   2635,0 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,W,10:00am - 10:50am,SH   2635,2 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,W,11:00am - 11:50am,SH   2635,0 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,R,10:00am - 10:50am,SH   2617,3 / 20
20184_ENGL.html,ENGL    193,L&S,4.0,Optional,R,11:00am - 11:50am,SH   2635,3 / 20
20184_ENGL.html,ENGL    193S,L&S,1.0,Optional,R,2:00pm - 2:50pm,SH   2623,1 / 15
20184_ENGL.html,ENGL    195I,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 25
20184_ENGL.html,ENGL    196,L&S,4.0,Optional,N/A,N/A,N/A,0 / 20
20184_ENGL.html,ENGL    197,L&S,4.0,Optional,T R,12:30pm - 1:45pm,SH   2617,4 / 15
20184_ENGL.html,ENGL    197,L&S,4.0,Optional,M,12:30pm - 2:50pm,SH   2617,4 / 15
20184_ENGL.html,ENGL    197,L&S,4.0,Optional,R,2:00pm - 4:50pm,SH   2617,5 / 15
20184_ENGL.html,ENGL    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 40
20184_ENGL.html,ENGL    199RA,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 40
20184_TMP.html,TMP     111,ENGR,1.0,Pass/No Pass,T,5:00pm - 7:50pm,EMBARHALL,96 / 240
20184_TMP.html,TMP     120,ENGR,4.0,Letter,M W,5:00pm - 6:50pm,PHELP3505,15 / 40
20184_TMP.html,TMP     120,ENGR,4.0,Letter,M W,4:00pm - 5:50pm,PHELP2524,31 / 40
20184_TMP.html,TMP     120,ENGR,4.0,Letter,T R,2:00pm - 3:50pm,PHELP2524,40 / 40
20184_TMP.html,TMP     122,ENGR,4.0,Letter,T R,4:00pm - 5:50pm,PHELP1425,7 / 50
20184_TMP.html,TMP     124,ENGR,4.0,Letter,T R,2:00pm - 3:50pm,ARTS 1353,27 / 40
20184_TMP.html,TMP     127,ENGR,4.0,Letter,M W,4:00pm - 5:50pm,NH   1105,30 / 40
20184_TMP.html,TMP     144,ENGR,4.0,Letter,T R,2:00pm - 3:50pm,ARTS 1353,0 / 50
20184_TMP.html,TMP     191MG,ENGR,2.0 - 4.0,Letter,M W,2:00pm - 3:50pm,PHELP2524,0 / 55
20184_TMP.html,TMP     191MG,ENGR,2.0 - 4.0,Letter,M W,4:00pm - 5:50pm,PHELP2524,0 / 55
20184_RENST.html,RENST   199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 10
20184_PHYS CS .html,PHYS CS  15A,CRST,1.0 - 3.0,Pass/No Pass,W,2:00pm - 2:50pm,BRDA 3314,12 / 13
20184_PHYS CS .html,PHYS CS  15A,CRST,1.0 - 3.0,Pass/No Pass,W,3:00pm - 5:50pm,BRDA 3314,12 / 13
20184_PHYS CS .html,PHYS CS  15A,CRST,1.0 - 3.0,Pass/No Pass,W,2:00pm - 2:50pm,BRDA 3314,5 / 13
20184_PHYS CS .html,PHYS CS  15A,CRST,1.0 - 3.0,Pass/No Pass,F,3:00pm - 5:50pm,BRDA 3314,5 / 13
20184_PHYS CS .html,PHYS CS  31,CRST,1.0 - 5.0,Pass/No Pass,T R,3:30pm - 4:45pm,BUCHN1934,0 / 25
20184_PHYS CS .html,PHYS CS  31,CRST,1.0 - 5.0,Pass/No Pass,W,1:00pm - 2:50pm,BUCHN1934,0 / 25
20184_PHYS CS .html,PHYS CS  31,CRST,1.0 - 5.0,Pass/No Pass,W,3:00pm - 4:50pm,BUCHN1934,0 / 25
20184_PHYS CS .html,PHYS CS  34,CRST,1.0 - 5.0,Pass/No Pass,T R,3:30pm - 4:50pm,HSSB 1224,5 / 25
20184_PHYS CS .html,PHYS CS  34,CRST,1.0 - 5.0,Pass/No Pass,R,1:00pm - 2:50pm,GIRV 2120,5 / 25
20184_PHYS CS .html,PHYS CS  34,CRST,1.0 - 5.0,Pass/No Pass,R,11:00am - 12:50pm,GIRV 2120,5 / 25
20184_W&L  CS .html,W&L  CS   1,CRST,1.0 - 6.0,Pass/No Pass,M,6:30pm - 7:50pm,CRST OLT,11 / 40
20184_W&L  CS .html,W&L  CS   2,CRST,1.0 - 6.0,Pass/No Pass,T,12:30pm - 1:45pm,CRST 136,3 / 24
20184_W&L  CS .html,W&L  CS   3,CRST,1.0 - 6.0,Pass/No Pass,R,12:30pm - 1:45pm,CRST 136,12 / 25
20184_W&L  CS .html,W&L  CS 120,CRST,1.0 - 6.0,Pass/No Pass,F,12:00pm - 2:20pm,CRST 160B,1 / 20
20184_W&L  CS .html,W&L  CS 121,CRST,1.0 - 6.0,Pass/No Pass,M W,1:00pm - 2:50pm,CRST 143,2 / 16
20184_W&L  CS .html,W&L  CS 170,CRST,1.0 - 6.0,Pass/No Pass,W,2:00pm - 4:20pm,CRST 160B,1 / 15
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,M W F,11:00am - 11:50am,NH   1006,0 / 112
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,M,3:00pm - 3:50pm,ESB  1003,0 / 12
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,M,4:00pm - 4:50pm,ESB  1003,0 / 12
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,T,5:00pm - 5:50pm,ESB  1003,0 / 17
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,T,6:00pm - 6:50pm,ESB  1003,0 / 17
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,T,7:00pm - 7:50pm,ESB  1003,0 / 12
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,W,2:00pm - 2:50pm,ESB  1003,0 / 17
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,W,3:00pm - 3:50pm,ESB  1003,0 / 15
20184_ENGR.html,ENGR      3,ENGR,3.0,Letter,W,4:00pm - 4:50pm,ESB  1003,0 / 10
20184_ENGR.html,ENGR    101,ENGR,3.0,Letter,M W,3:30pm - 4:45pm,GIRV 1112,23 / 40
20184_ENGR.html,ENGR    101,ENGR,3.0,Letter,M W,5:00pm - 6:15pm,GIRV 1112,8 / 40
20184_ENGR.html,ENGR    195A,ENGR,1.0,Letter,F,1:00pm - 1:50pm,GIRV 2128,0 / 70
20184_ENGR.html,ENGR    199,ENGR,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 1
20184_BIOL CS .html,BIOL CS  10,CRST,1.0 - 6.0,Pass/No Pass,W,3:00pm - 4:50pm,CRST 136,0 / 20
20184_BIOL CS .html,BIOL CS  12,CRST,1.0 - 6.0,Pass/No Pass,R,8:00 am - 8:50 am,CRST 143,1 / 12
20184_BIOL CS .html,BIOL CS 101,CRST,1.0 - 6.0,Pass/No Pass,T,1:00pm - 2:50pm,CRST 160B,6 / 15
20184_PSY.html,PSY       1,L&S,4.0,Optional,T R,12:30pm - 1:45pm,CAMPBHALL,20 / 310
20184_PSY.html,PSY       1,L&S,4.0,Optional,M,8:00 am - 9:15 am,PHELP1445,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,R,6:30pm - 7:45pm,GIRV 2124,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,M,11:00am - 12:15pm,NH   1105,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,M,3:30pm - 4:45pm,PHELP3519,2 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,M,5:00pm - 6:15pm,GIRV 2119,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,M,6:30pm - 7:45pm,GIRV 2119,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,T,8:00 am - 9:15 am,GIRV 1116,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,R,3:30pm - 4:45pm,PHELP1448,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,T,2:00pm - 3:15pm,GIRV 2128,3 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,T,3:30pm - 4:45pm,ARTS 1356,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,W,3:30pm - 4:45pm,ARTS 1353,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,T,5:00pm - 6:15pm,PHELP1508,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,W,8:00 am - 9:15 am,GIRV 1112,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,F,3:30pm - 4:45pm,GIRV 1448,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,M,8:00 am - 9:15 am,GIRV 2129,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,W,5:00pm - 6:15pm,ARTS 1356,0 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,W,6:30pm - 7:45pm,GIRV 1112,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,R,8:00 am - 9:15 am,GIRV 1112,1 / 30
20184_PSY.html,PSY       1,L&S,4.0,Optional,R,9:30 am - 10:45am,PHELP1160,0 / 30
