20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,1:00pm - 4:50pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,1:00pm - 4:50pm,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,5:30pm - 9:20pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,5:30pm - 9:20pm,PSB-N2653,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,5:30pm - 9:20pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,5:30pm - 9:20pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,T,5:30pm - 9:20pm,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,8:00 am - 11:50am,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,8:00 am - 11:50am,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,8:00 am - 11:50am,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,8:00 am - 11:50am,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,1:00pm - 4:50pm,PSB-N2637,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,1:00pm - 4:50pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,1:00pm - 4:50pm,PSB-N2653,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,1:00pm - 4:50pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,1:00pm - 4:50pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,1:00pm - 4:50pm,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,5:30pm - 9:20pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,5:30pm - 9:20pm,PSB-N2653,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,5:30pm - 9:20pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,W,5:30pm - 9:20pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,8:00 am - 11:50am,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,8:00 am - 11:50am,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,1:00pm - 4:50pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,1:00pm - 4:50pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,1:00pm - 4:50pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,1:00pm - 4:50pm,PSB-N2666,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,5:30pm - 9:20pm,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,5:30pm - 9:20pm,PSB-N2653,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,5:30pm - 9:20pm,PSB-N2654,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,R,5:30pm - 9:20pm,PSB-N2664,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,8:00 am - 11:50am,PSB-N2638,22 / 22
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,8:00 am - 11:50am,PSB-N2653,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,8:00 am - 11:50am,PSB-N2654,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,8:00 am - 11:50am,PSB-N2664,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,8:00 am - 11:50am,PSB-N2666,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,1:00pm - 4:50pm,PSB-N2637,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,1:00pm - 4:50pm,PSB-N2638,20 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,1:00pm - 4:50pm,PSB-N2653,0 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,1:00pm - 4:50pm,PSB-N2654,0 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,1:00pm - 4:50pm,PSB-N2664,0 / 20
20201_CHEM.html,CHEM      1BL,L&S,2.0,Optional,F,1:00pm - 4:50pm,PSB-N2666,0 / 20
20201_CHEM.html,CHEM      2B,L&S,3.0,Letter,M W F,9:00 am - 9:50 am,PHELP2524,55 / 55
20201_CHEM.html,CHEM      2BC,L&S,2.0,Letter,W,5:30pm - 9:20pm,PSB-N2666,0 / 12
20201_CHEM.html,CHEM      2BC,L&S,2.0,Letter,R,5:30pm - 9:20pm,PSB-N2666,0 / 12
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,M W,8:00 am - 8:50 am,BUCHN1910,288 / 288
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,T,8:00 am - 11:50am,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,T,1:00pm - 4:50pm,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,T,5:30pm - 9:20pm,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,T,5:30pm - 9:20pm,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,T,5:30pm - 9:20pm,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,R,8:00 am - 11:50am,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,R,1:00pm - 4:50pm,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,R,5:30pm - 9:20pm,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,R,5:30pm - 9:20pm,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,R,5:30pm - 9:20pm,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,F,8:00 am - 11:50am,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,F,8:00 am - 11:50am,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,F,8:00 am - 11:50am,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,F,1:00pm - 4:50pm,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,F,1:00pm - 4:50pm,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6AL,L&S,3.0,Optional,F,1:00pm - 4:50pm,PSB-N1670,18 / 18

20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,8:00 am - 11:50am,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,8:00 am - 11:50am,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,1:00pm - 4:50pm,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,1:00pm - 4:50pm,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,1:00pm - 4:50pm,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,5:30pm - 9:20pm,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,5:30pm - 9:20pm,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,M W,5:30pm - 9:20pm,PSB-N1670,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,T R,8:00 am - 11:50am,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,T R,8:00 am - 11:50am,PSB-N1662,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,T R,1:00pm - 4:50pm,PSB-N1652,18 / 18
20201_CHEM.html,CHEM      6BL,L&S,3.0,Optional,T R,1:00pm - 4:50pm,PSB-N1662,18 / 18

20201_CHEM.html,CHEM     99,L&S,1.0 - 3.0,Optional,N/A,N/A,N/A,0 / 20
20201_CHEM.html,CHEM CS 103,CRST,1.0 - 6.0,Pass/No Pass,M W F,10:00am - 11:50am,CRST 160B,18 / 18
20201_CHEM.html,CHEM    109A,L&S,4.0,Optional,M W F,2:00pm - 2:50pm,CHEM 1179,236 / 354
20201_CHEM.html,CHEM    109B,L&S,4.0,Optional,M W F,10:00am - 10:50am,BUCHN1910,306 / 306
20201_CHEM.html,CHEM    109B,L&S,4.0,Optional,M W F,1:00pm - 1:50pm,CHEM 1179,354 / 354
20201_CHEM.html,CHEM    109BH,L&S,4.0,Letter,M W F,10:00am - 10:50am,PHELP1260,35 / 60
20201_CHEM.html,CHEM    112B,L&S,4.0,Optional,T R,11:00am - 12:15pm,NH   1109,32 / 48
20201_CHEM.html,CHEM    112B,L&S,4.0,Optional,M,12:00pm - 12:50pm,HSSB 3201,16 / 16
20201_CHEM.html,CHEM    112B,L&S,4.0,Optional,M,1:00pm - 1:50pm,GIRV 2120,16 / 16
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,T R,11:00am - 12:15pm,PHELP1260,72 / 72
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,12:00pm - 12:50pm,387  1015,0 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,1:00pm - 1:50pm,387  1015,0 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,12:00pm - 12:50pm,GIRV 2116,18 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,1:00pm - 1:50pm,GIRV 1116,18 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 1228,18 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 1223,18 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,T R,11:00am - 12:15pm,BIOEN1001,70 / 72
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,1:00pm - 1:50pm,GIRV 2116,7 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,2:00pm - 2:50pm,GIRV 2116,1 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,12:00pm - 12:50pm,GIRV 2123,17 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,1:00pm - 1:50pm,GIRV 2112,15 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 1227,16 / 12
20201_CHEM.html,CHEM    113B,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 1215,14 / 12
20201_CHEM.html,CHEM    115B,L&S,3.0,Optional,M W F,12:00pm - 12:50pm,PHELP1445,3 / 15
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,M,12:00pm - 12:50pm,HFH  1104,95 / 98
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,M W,1:00pm - 4:50pm,PSB-N1641,12 / 12
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,M W,1:00pm - 4:50pm,PSB-N1649,12 / 10
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,M W,5:30pm - 9:20pm,PSB-N1641,12 / 12
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,M W,5:30pm - 9:20pm,PSB-N1649,11 / 10
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,T R,1:00pm - 4:50pm,PSB-N1641,12 / 12
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,T R,1:00pm - 4:50pm,PSB-N1649,11 / 10
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,T R,5:30pm - 9:20pm,PSB-N1641,12 / 12
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,T R,5:30pm - 9:20pm,PSB-N1649,10 / 10
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,W F,8:00 am - 11:50am,PSB-N1641,0 / 12
20201_CHEM.html,CHEM    116AL,L&S,3.0,Optional,W F,8:00 am - 11:50am,PSB-N1649,3 / 10
20201_CHEM.html,CHEM    118,L&S,3.0,Optional,M W F,11:00am - 11:50am,PHELP2516,51 / 50
20201_CHEM.html,CHEM    125L,L&S,4.0,Letter,M,2:00pm - 2:50pm,PHELP1445,32 / 32
20201_CHEM.html,CHEM    125L,L&S,4.0,Letter,T R,1:00pm - 4:50pm,PSB-N2619,16 / 16
20201_CHEM.html,CHEM    125L,L&S,4.0,Letter,T R,5:30pm - 9:20pm,PSB-N2619,16 / 16
20201_CHEM.html,CHEM    125L,L&S,4.0,Letter,W F,1:00pm - 4:50pm,PSB-N2619,0 / 16
20201_CHEM.html,CHEM    127,L&S,3.0,Optional,M W F,9:00 am - 9:50 am,PSYCH1902,70 / 70
20201_CHEM.html,CHEM    133,L&S,3.0,Optional,T R,2:00pm - 3:15pm,BUCHN1934,6 / 10
20201_CHEM.html,CHEM    142B,L&S,3.0,Optional,M W F,10:00am - 10:50am,PHELP2524,43 / 50
20201_CHEM.html,CHEM    161,L&S,3.0,Letter,M W F,9:00 am - 9:50 am,GIRV 1106,9 / 10
20201_CHEM.html,CHEM    171,L&S,3.0,Letter,M W,3:30pm - 4:45pm,GIRV 2108,25 / 25
20201_CHEM.html,CHEM    173B,L&S,3.0,Optional,T R,9:30 am - 10:45am,PHELP1425,56 / 56
20201_CHEM.html,CHEM    173B,L&S,3.0,Optional,T,4:00pm - 4:50pm,HSSB 4201,14 / 14
20201_CHEM.html,CHEM    173B,L&S,3.0,Optional,T,5:00pm - 5:50pm,HSSB 4201,14 / 14
20201_CHEM.html,CHEM    173B,L&S,3.0,Optional,R,4:00pm - 4:50pm,HSSB 2202,14 / 14
20201_CHEM.html,CHEM    173B,L&S,3.0,Optional,R,5:00pm - 5:50pm,HSSB 2202,14 / 14


20201_CHEM.html,CHEM    184,L&S,2.0,Optional,T R,2:00pm - 3:15pm,LIB  1312,13 / 20
20201_CHEM.html,CHEM    192,L&S,3.0,Letter,N/A,N/A,N/A,0 / 20


20201_CHEM.html,CHEM    196,L&S,1.0 - 4.0,Optional,T R,9:30 am - 10:45am,GIRV 1106,0 / 5

20201_CHEM.html,CHEM    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 40
