20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_BL ST.html,BL ST     3,L&S,4.0,Letter,W,11:00am - 11:50am,SH   3707,20 / 20
20201_BL ST.html,BL ST     3,L&S,4.0,Letter,W,12:00pm - 12:50pm,SH   3707,19 / 20
20201_BL ST.html,BL ST     3,L&S,4.0,Letter,W,1:00pm - 1:50pm,SH   3707,20 / 20
20201_BL ST.html,BL ST     3,L&S,4.0,Letter,W,2:00pm - 2:50pm,SH   3707,17 / 20
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,T R,9:30 am - 10:45am,BUCHN1920,120 / 120
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,T,2:00pm - 2:50pm,SH   3707,20 / 20
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,T,3:00pm - 3:50pm,SH   3707,20 / 20
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,T,4:00pm - 4:50pm,SH   3707,20 / 20
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,F,9:00 am - 9:50 am,SH   3707,20 / 20
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,F,10:00am - 10:50am,SH   3707,20 / 20
20201_BL ST.html,BL ST    14,L&S,4.0,Letter,F,11:00am - 11:50am,SH   3707,20 / 20
20201_BL ST.html,BL ST    49A,L&S,4.0,Letter,M W,5:00pm - 6:15pm,PSYCH1924,30 / 30
20201_BL ST.html,BL ST    49A,L&S,4.0,Letter,T,3:00pm - 3:50pm,SH   1609,5 / 5


20201_BL ST.html,BL ST    49A,L&S,4.0,Letter,W,10:00am - 10:50am,HSSB 1224,5 / 5


20201_BL ST.html,BL ST    99,L&S,1.0 - 4.0,Letter,N/A,N/A,N/A,0 / 10
20201_BL ST.html,BL ST   104,L&S,4.0,Letter,T R,12:30pm - 1:45pm,NH   1105,65 / 65
20201_BL ST.html,BL ST   126,L&S,4.0,Letter,T R,8:00 am - 9:15 am,PHELP1425,65 / 65
20201_BL ST.html,BL ST   130A,L&S,4.0,Letter,M W,2:00pm - 3:15pm,NH   1105,65 / 65
20201_BL ST.html,BL ST   137E,L&S,4.0,Letter,T R,2:00pm - 3:15pm,PHELP1425,65 / 65
20201_BL ST.html,BL ST   154,L&S,4.0,Letter,W F,11:00am - 12:15pm,GIRV 2128,65 / 65
20201_BL ST.html,BL ST   180,L&S,4.0,Letter,T R,9:30 am - 10:45am,SH   3707,26 / 25

20201_BL ST.html,BL ST   197,L&S,1.0 - 8.0,Optional,N/A,N/A,N/A,0 / 12
20201_BL ST.html,BL ST   199,L&S,1.0 - 4.0,Letter,N/A,N/A,N/A,0 / 10
20201_BL ST.html,BL ST   199RA,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 10
20201_ART.html,ART       1A,L&S,5.0,Optional,T R,12:30pm - 1:45pm,BUCHN1920,59 / 100
20201_ART.html,ART       1A,L&S,5.0,Optional,W,10:00am - 10:50am,ARTS 1344,10 / 25
20201_ART.html,ART       1A,L&S,5.0,Optional,T,2:00pm - 2:50pm,ARTS 1344,25 / 25
20201_ART.html,ART       1A,L&S,5.0,Optional,W,11:00am - 11:50am,ARTS 1344,11 / 25
20201_ART.html,ART       1A,L&S,5.0,Optional,T,3:00pm - 3:50pm,ARTS 1344,13 / 25
